results for experiment 3 at timestamp 2018     4    18     0     8    33
samp#		order		kappa		exact		rational		time		chebyshev		time
42		14		11.50		3262.18522		3258.83072		0.13387		3261.03801		0.01337
42		14		15.00		3171.70930		3170.72711		0.13461		3168.21368		0.01069
42		15		1.00		Inf		NaN		29.15626		NaN		1.21772
42		15		4.50		3832.74811		3835.23570		0.13934		3831.17510		0.01152
42		15		8.00		3426.85214		3426.20535		0.13932		3425.82301		0.01155
42		15		11.50		3262.18522		3257.01280		0.14103		3268.73473		0.01177
42		15		15.00		3171.70930		3167.11306		0.14855		3173.03499		0.01128
42		16		1.00		Inf		NaN		32.14574		NaN		1.31443
42		16		4.50		3832.74811		3834.29889		0.15356		3835.43728		0.01117
42		16		8.00		3426.85214		3425.76118		0.14911		3430.96867		0.01247
42		16		11.50		3262.18522		3258.93295		0.15001		3262.36372		0.01232
42		16		15.00		3171.70930		3170.44263		0.16399		3174.23443		0.01069
50		12		1.00		Inf		NaN		26.28258		NaN		1.17483
50		12		4.50		3832.74811		3833.16648		0.16207		3827.99370		0.01365
50		12		8.00		3426.85214		3426.56812		0.14232		3421.07336		0.01220
50		12		11.50		3262.18522		3264.83384		0.13592		3264.93405		0.01234
50		12		15.00		3171.70930		3175.23336		0.13068		3175.74284		0.01200
50		13		1.00		Inf		NaN		29.52837		NaN		1.25680
50		13		4.50		3832.74811		3831.44106		0.15229		3828.85118		0.01305
50		13		8.00		3426.85214		3430.00844		0.14059		3427.54452		0.01301
50		13		11.50		3262.18522		3262.01871		0.14475		3266.86806		0.01226
50		13		15.00		3171.70930		3173.54751		0.14619		3173.35613		0.01257
50		14		1.00		Inf		NaN		30.59889		NaN		1.35592
50		14		4.50		3832.74811		3831.74687		0.15306		3834.47729		0.01346
50		14		8.00		3426.85214		3423.59796		0.15042		3430.06418		0.01214
50		14		11.50		3262.18522		3263.33725		0.15276		3263.76561		0.01240
50		14		15.00		3171.70930		3169.66885		0.14683		3171.01147		0.01350
50		15		1.00		Inf		NaN		33.89420		NaN		1.44105
50		15		4.50		3832.74811		3829.80106		0.15854		3833.38926		0.01694
50		15		8.00		3426.85214		3429.23003		0.16557		3428.15036		0.01429
50		15		11.50		3262.18522		3263.52735		0.16019		3259.67667		0.01412
50		15		15.00		3171.70930		3172.54094		0.16447		3174.90200		0.01477
50		16		1.00		Inf		NaN		37.36682		NaN		1.53627
50		16		4.50		3832.74811		3833.10403		0.17247		3831.34566		0.01535
50		16		8.00		3426.85214		3433.09930		0.16748		3430.40704		0.01467
50		16		11.50		3262.18522		3261.04108		0.16962		3264.68483		0.01502
50		16		15.00		3171.70930		3174.35860		0.17053		3168.02620		0.01517
