results for experiment 3 at timestamp 2018     4    18     0     8    33
samp#		order		kappa		exact		rational		time		chebyshev		time
34		16		8.00		6.95801		6.13500		0.04622		8.11477		0.00041
34		16		11.50		4.96235		5.07903		0.04527		4.06342		0.00033
34		16		15.00		3.61540		5.26876		0.04572		1.69330		0.00034
42		12		1.00		Inf		NaN		0.09287		NaN		0.00041
42		12		4.50		10.72784		11.17490		0.04216		10.99252		0.00046
42		12		8.00		6.95801		6.88374		0.04054		6.87394		0.00033
42		12		11.50		4.96235		5.25442		0.04048		4.88144		0.00046
42		12		15.00		3.61540		4.08401		0.04173		3.63963		0.00046
42		13		1.00		Inf		NaN		0.09562		NaN		0.00035
42		13		4.50		10.72784		10.47599		0.04235		10.38641		0.00038
42		13		8.00		6.95801		6.89436		0.04154		6.55421		0.00052
42		13		11.50		4.96235		5.15854		0.04024		4.29856		0.00035
42		13		15.00		3.61540		3.45899		0.03995		3.16783		0.00031
42		14		1.00		Inf		NaN		0.10305		NaN		0.00048
42		14		4.50		10.72784		10.16448		0.04013		10.50506		0.00035
42		14		8.00		6.95801		6.09441		0.04160		6.99906		0.00046
42		14		11.50		4.96235		5.50037		0.03765		5.65851		0.00035
42		14		15.00		3.61540		3.71587		0.04167		2.50839		0.00033
42		15		1.00		Inf		NaN		0.10575		NaN		0.00048
42		15		4.50		10.72784		10.52196		0.05531		11.17338		0.00032
42		15		8.00		6.95801		6.38298		0.04762		7.12140		0.00054
42		15		11.50		4.96235		4.65652		0.04573		4.34936		0.00032
42		15		15.00		3.61540		4.15348		0.04634		3.55437		0.00038
42		16		1.00		Inf		NaN		0.11663		NaN		0.00052
42		16		4.50		10.72784		10.28956		0.05368		11.30724		0.00059
42		16		8.00		6.95801		7.00399		0.07631		6.75077		0.00053
42		16		11.50		4.96235		4.08390		0.09049		3.18671		0.00069
42		16		15.00		3.61540		2.65323		0.05718		3.41740		0.00049
50		12		1.00		Inf		NaN		0.11202		NaN		0.00036
50		12		4.50		10.72784		11.18274		0.04992		11.30073		0.00046
50		12		8.00		6.95801		6.96871		0.05147		7.38881		0.00030
50		12		11.50		4.96235		4.60673		0.05265		4.66429		0.00038
50		12		15.00		3.61540		2.06919		0.05320		4.48880		0.00044
50		13		1.00		Inf		NaN		0.10824		NaN		0.00053
50		13		4.50		10.72784		10.77668		0.03787		10.55974		0.00032
50		13		8.00		6.95801		6.53560		0.03919		6.18157		0.00031
50		13		11.50		4.96235		5.03625		0.03993		4.63624		0.00033
50		13		15.00		3.61540		3.90822		0.04272		2.98200		0.00033
50		14		1.00		Inf		NaN		0.10930		NaN		0.00056
50		14		4.50		10.72784		11.17663		0.04385		11.33736		0.00034
